Name,Node Type,Type,Line,Scope,IsConst,IsInitialized,IsUsed
add,Function,( int - int ) -> int,1,1,No,Yes,Yes
a,Variable,int,1,2,No,No,Yes
b,Variable,int,1,2,No,No,Yes
a,Variable,int,1,3,No,Yes,Yes
func,Function,(  ) -> void,3,1,No,Yes,No
main,Function,(  ) -> int,7,1,No,Yes,No
i,Variable,int,9,2,No,Yes,Yes
j,Variable,int,9,2,No,Yes,Yes
flag,Variable,boolean,10,2,No,Yes,Yes
ch,Variable,char,11,2,No,Yes,Yes
f,Variable,float,12,2,No,Yes,Yes
s,Variable,string,13,2,No,Yes,Yes
t,Variable,string,14,2,No,Yes,Yes
i,Variable,int,16,3,No,Yes,Yes
k,Variable,int,18,3,No,Yes,Yes
q,Variable,boolean,71,2,No,Yes,Yes
